Número REDS;Data Fato;Município;Código da Infração;AIT/ AINA - Número Documento;AIT/AINA - Órgão Origem -Autoridade Responsável;Qtde Infrações
2019-004902216-001;01/02/2019;DIVINOPOLIS;65992;AM51354;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004906004-001;01/02/2019;PARA DE MINAS;65992;am00038737;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004914070-001;01/02/2019;NOVA SERRANA;50450;B150507607;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004914070-001;01/02/2019;NOVA SERRANA;51420;B150507623;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004914070-001;01/02/2019;NOVA SERRANA;65992;B150507593;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004914070-001;01/02/2019;NOVA SERRANA;67261;B150507615;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004915269-001;01/02/2019;ABAETE;65992;AM00363014;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004915650-001;01/02/2019;ABAETE;50100;AM00363037;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004915650-001;01/02/2019;ABAETE;65992;AM00363017;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004916564-001;01/02/2019;BOM DESPACHO;50100;AM00228581;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004916564-001;01/02/2019;BOM DESPACHO;73400;AM00228582;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004916592-001;01/02/2019;DIVINOPOLIS;50100;B 15.689.151-4;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004916592-001;01/02/2019;DIVINOPOLIS;51851;B 15.689.154-9;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004916592-001;01/02/2019;DIVINOPOLIS;65992;B 15.689.152-2;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004916592-001;01/02/2019;DIVINOPOLIS;73400;B 15.589.153-7;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004916746-001;01/02/2019;DIVINOPOLIS;65564;B 15.689.155-7;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004916984-001;01/02/2019;DIVINOPOLIS;65992;B 15.689.156-5;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004916984-001;01/02/2019;DIVINOPOLIS;67261;B 15.689.157-3;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004917242-001;01/02/2019;DIVINOPOLIS;65565;B156890747;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004921294-001;01/02/2019;DIVINOPOLIS;66101;B156890232;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-004925838-001;01/02/2019;ABAETE;65992;AM00363012;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004926228-001;01/02/2019;ABAETE;65992;am00363013;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004929325-001;01/02/2019;ITAUNA;53800;AG03379964;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004930975-001;01/02/2019;ABAETE;50100;AM00363106;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004930975-001;01/02/2019;ABAETE;51851;AM00363107;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004930975-001;01/02/2019;ABAETE;65992;AM00363105;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004930975-001;01/02/2019;ABAETE;66020;AM00363108;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004930975-001;01/02/2019;ABAETE;67261;AM00363109;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004933574-001;01/02/2019;ITAUNA;76252;AG03379669;MUNICIPAL;1
2019-004933819-001;01/02/2019;BAMBUI;65992;AM 00006500;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004934475-001;01/02/2019;LAGOA DA PRATA;50100;AC01280648;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004934475-001;01/02/2019;LAGOA DA PRATA;65992;AC01280647;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004936511-001;01/02/2019;PERDIGAO;50371;AC01280716;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004936511-001;01/02/2019;PERDIGAO;50450;AC01280718;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004936511-001;01/02/2019;PERDIGAO;51341;AC01280719;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004936511-001;01/02/2019;PERDIGAO;65992;AC01280715;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004936511-001;01/02/2019;PERDIGAO;73400;AC01280717;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-004942220-001;01/02/2019;ITAUNA;54526;AG03379968;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004942378-001;01/02/2019;ITAUNA;54526;AG03379967;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004948362-001;01/02/2019;PARA DE MINAS;50100;am331581;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004957229-001;01/02/2019;PARA DE MINAS;54600;am331582;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004960811-001;01/02/2019;POMPEU;65563;AM00227865;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004961597-001;01/02/2019;CARMO DO CAJURU;50450;AM00044118;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004964259-001;01/02/2019;ABAETE;50100;AM00363023;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004964259-001;01/02/2019;ABAETE;65992;AM00363022;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004983318-001;01/02/2019;ITAUNA;50100;03379982;MUNICIPAL;1
2019-004983318-001;01/02/2019;ITAUNA;52151;03379975;MUNICIPAL;1
2019-004983318-001;01/02/2019;ITAUNA;58191;03379974;MUNICIPAL;1
2019-004983318-001;01/02/2019;ITAUNA;58350;03379970;MUNICIPAL;1
2019-004983318-001;01/02/2019;ITAUNA;60502;03379978;MUNICIPAL;1
2019-004986051-001;01/02/2019;PERDIGAO;50100;AA04708467;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004989315-001;01/02/2019;MARTINHO CAMPOS;50100;AM00229245;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004989315-001;01/02/2019;MARTINHO CAMPOS;65992;AM00229246;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-004989315-001;01/02/2019;MARTINHO CAMPOS;73400;AM00229247;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-005000546-001;01/02/2019;LAGOA DA PRATA;50100;an00364222;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-005006950-001;01/02/2019;DIVINOPOLIS;65992;B 15.689.082-8;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-005012698-001;01/02/2019;DIVINOPOLIS;50100;B156891263;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-005012698-001;01/02/2019;DIVINOPOLIS;65992;B156891271;PRF - POLICIA RODIVIARIA FEDERAL;1
2019-005015910-001;01/02/2019;NOVA SERRANA;50371;AJ201679;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-005015910-001;01/02/2019;NOVA SERRANA;65992;AJ201680;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-005015910-001;01/02/2019;NOVA SERRANA;69120;AJ201678;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-005019740-001;01/02/2019;LAGOA DA PRATA;65992;AM00364417;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-005022624-001;01/02/2019;NOVA SERRANA;50100;AJ201676;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-005022624-001;01/02/2019;NOVA SERRANA;65992;AJ201677;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-005024166-001;01/02/2019;PARA DE MINAS;50100;AM00331572;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-005024166-001;01/02/2019;PARA DE MINAS;65561;AM00331573;DETRAN - DEPARTAMENTO DE TRANSITO;1
2019-005025342-001;01/02/2019;PITANGUI;67261;AF01371468;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-005025342-001;01/02/2019;PITANGUI;73400;AF01371469;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-005028230-001;01/02/2019;BOM DESPACHO;51691;AC01280709;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-005028989-001;01/02/2019;BOM DESPACHO;50292;AC01280667;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-005028989-001;01/02/2019;BOM DESPACHO;50371;AC01280666;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-005028989-001;01/02/2019;BOM DESPACHO;65992;AC01280665;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-005028989-001;01/02/2019;BOM DESPACHO;65992;AC01280753;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-005028989-001;01/02/2019;BOM DESPACHO;66101;AC01280754;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-005028989-001;01/02/2019;BOM DESPACHO;66371;AC01280755;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
2019-005028989-001;01/02/2019;BOM DESPACHO;66450;AC01280752;DER - DEPARTAMENTO DE ESTRADAS E RODAGENS;1
