Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Data Fato;Horário Fato;Descrição Longa Tipo Material;Descrição Longa Unidade Medida;Situação Material;Qtde Materiais;Qtde/Volume Material
2019-004335625-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;I04033;CONSUMADO;RUA;PROFESSORA MARIA GLORIA G FREITAS;;PREENCHIMENTO OPCIONAL;;746;SAO GERALDO;;;;CLAUDIO;-20,44337160;-44,78061560;28/01/2019;18:30:00;PAPELOTES DE COCAINA;UNIDADE;APREENDIDO;1;7,00
2019-004335625-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;I04033;CONSUMADO;RUA;PROFESSORA MARIA GLORIA G FREITAS;;PREENCHIMENTO OPCIONAL;;746;SAO GERALDO;;;;CLAUDIO;-20,44337160;-44,78061560;28/01/2019;18:30:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);UNIDADE;APREENDIDO;1;1,00
2019-004347476-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;INVÁLIDO;D;PREENCHIMENTO OPCIONAL;;250;INVÁLIDO;ITAPUA;;;NOVA SERRANA;;;28/01/2019;21:42:02;MOEDA NACIONAL (REAL);UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;100,00
2019-004347686-001;POLICIA MILITAR;60 BPM/7 RPM;60 BPM/7 RPM;B01147;CONSUMADO;RUA;SERRA DOS CRISTAIS;;PREENCHIMENTO OPCIONAL;;611;FREI AMBROSIO;;;;NOVA SERRANA;-19,86108670;-44,97955600;28/01/2019;21:34:29;MOEDA NACIONAL (REAL);UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-004349280-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;RUA;AZALEIAS;;PREENCHIMENTO OPCIONAL;;291.000;CIDADE JARDIM;CIDADE JARDIM;;;CLAUDIO;-20,43709850;-44,76240260;28/01/2019;21:30:00;TELEFONE CELULAR;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004358777-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;B08021;CONSUMADO;RUA;INHA CHICA;;PREENCHIMENTO OPCIONAL;;237;MORADA NOVA UM;;;;ITAUNA;-20,09073600;-44,59261440;28/01/2019;23:31:59;TELEFONE CELULAR;UNIDADE;OUTROS - SITUACAO DO MATERIAL;1;1,00
2019-004358801-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;63 BPM/7 RPM;U33004;CONSUMADO;AVENIDA;ABAETE;;PREENCHIMENTO OPCIONAL;;188.000;QUARTEIS;CENTRO;;;FORMIGA;-20,46790030;-45,42459330;28/01/2019;23:31:57;ARMA BRANCA DE FABRICAÇÃO ARTESANAL;PREENCHIMENTO OPCIONAL;RECOLHIDO;1;0,00
2019-004365201-001;POLICIA MILITAR;2 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;RUA;JERONIMO VIEIRA;;PREENCHIMENTO OPCIONAL;;290;BAMBE;;;;MARTINHO CAMPOS;-19,32792990;-45,23789670;28/01/2019;20:00:00;CARTEIRA / PORTA-NIQUEIS;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-004365201-001;POLICIA MILITAR;2 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;RUA;JERONIMO VIEIRA;;PREENCHIMENTO OPCIONAL;;290;BAMBE;;;;MARTINHO CAMPOS;-19,32792990;-45,23789670;28/01/2019;20:00:00;MOEDA NACIONAL (REAL);PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004365201-001;POLICIA MILITAR;2 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;RUA;JERONIMO VIEIRA;;PREENCHIMENTO OPCIONAL;;290;BAMBE;;;;MARTINHO CAMPOS;-19,32792990;-45,23789670;28/01/2019;20:00:00;MOEDA NACIONAL (REAL);UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;150,00
2019-004365201-001;POLICIA MILITAR;2 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;RUA;JERONIMO VIEIRA;;PREENCHIMENTO OPCIONAL;;290;BAMBE;;;;MARTINHO CAMPOS;-19,32792990;-45,23789670;28/01/2019;20:00:00;TELEFONE CELULAR;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
2019-004365387-001;POLICIA MILITAR;63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;ARMANDO FRANCO;;PREENCHIMENTO OPCIONAL;;41.0000;CENTRO;CENTRO;;;BAMBUI;-20,01052820;-45,97683260;28/01/2019;22:59:00;CARTEIRA / PORTA-NIQUEIS;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004365387-001;POLICIA MILITAR;63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;ARMANDO FRANCO;;PREENCHIMENTO OPCIONAL;;41.0000;CENTRO;CENTRO;;;BAMBUI;-20,01052820;-45,97683260;28/01/2019;22:59:00;MOEDA NACIONAL (REAL);PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004365387-001;POLICIA MILITAR;63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;ARMANDO FRANCO;;PREENCHIMENTO OPCIONAL;;41.0000;CENTRO;CENTRO;;;BAMBUI;-20,01052820;-45,97683260;28/01/2019;22:59:00;OUTROS - INSTRUMENTO PERFURANTE, CORTANTE OU CONTUNDENTE;PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-004365387-001;POLICIA MILITAR;63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;ARMANDO FRANCO;;PREENCHIMENTO OPCIONAL;;41.0000;CENTRO;CENTRO;;;BAMBUI;-20,01052820;-45,97683260;28/01/2019;22:59:00;OUTROS OBJETOS (DISCRIMINAR NO HISTORICO);PREENCHIMENTO OPCIONAL;APREENDIDO;1;0,00
2019-004367282-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;FORTUNATO LOPES;;PREENCHIMENTO OPCIONAL;;31;SANTO ANTONIO;;;;PITANGUI;-19,68795530;-44,88363590;28/01/2019;22:54:43;MAQUINA PARA JOGOS;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004367282-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;FORTUNATO LOPES;;PREENCHIMENTO OPCIONAL;;31;SANTO ANTONIO;;;;PITANGUI;-19,68795530;-44,88363590;28/01/2019;22:54:43;MOEDA NACIONAL (REAL);PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004367282-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;FORTUNATO LOPES;;PREENCHIMENTO OPCIONAL;;31;SANTO ANTONIO;;;;PITANGUI;-19,68795530;-44,88363590;28/01/2019;22:54:43;TELEFONE CELULAR;PREENCHIMENTO OPCIONAL;FURTADO / ROUBADO (NAO RECUPERADO);1;0,00
2019-004370401-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01157;CONSUMADO;AVENIDA;OVIDIO ABREU;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;BELVEDERE;POSTO AVENIDA;;PARA DE MINAS;;;29/01/2019;00:22:36;OUTROS OBJETOS (DISCRIMINAR NO HISTORICO);UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;2,00
2019-004370401-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01157;CONSUMADO;AVENIDA;OVIDIO ABREU;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;BELVEDERE;POSTO AVENIDA;;PARA DE MINAS;;;29/01/2019;00:22:36;TELEFONE CELULAR;UNIDADE;FURTADO / ROUBADO (NAO RECUPERADO);1;1,00
