UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO;ANO
MG;MIRABELA;3575;1487;0;134;7;340;56;0;7;24;1318;97;38;0;61;5;0;0;0;0;1;0;2016
MG;MIRADOURO;3992;1809;0;116;35;310;67;0;27;20;1480;15;34;0;53;25;0;0;0;0;0;1;2016
MG;MIRAI;6025;2798;0;178;14;432;136;0;30;16;2170;125;27;0;61;6;1;3;0;0;5;23;2016
MG;MIRAVANIA;738;194;0;19;0;66;6;0;1;4;422;2;17;0;6;0;0;0;0;0;0;1;2016
MG;MOEDA;2951;1592;0;134;19;305;74;0;2;13;668;25;63;0;27;19;0;0;0;0;0;10;2016
MG;MOEMA;5192;2271;0;187;19;485;95;0;11;18;1490;245;122;0;208;25;1;0;0;0;1;14;2016
MG;MONJOLOS;243;85;0;9;0;27;4;0;0;3;106;1;8;0;0;0;0;0;0;0;0;0;2016
MG;MONSENHOR PAULO;3648;2156;0;216;13;331;113;0;2;32;680;25;16;0;40;15;1;0;0;0;0;8;2016
MG;MONTALVANIA;3930;1152;0;152;5;454;48;0;5;9;1812;101;85;0;87;8;0;0;0;0;8;4;2016
MG;MONTE ALEGRE DE MINAS;10563;5197;0;648;107;1463;403;0;45;77;1780;346;73;0;299;97;1;1;0;0;4;22;2016
MG;MONTE AZUL;9613;2647;0;186;1;740;81;0;26;13;5012;677;79;0;122;1;0;0;0;0;3;25;2016
MG;MONTE BELO;7345;4111;0;303;12;652;115;0;1;46;1818;59;56;0;100;47;2;0;0;1;4;18;2016
MG;MONTE CARMELO;31985;16507;0;1509;216;2917;596;0;66;138;7267;1404;180;0;773;308;4;4;0;4;6;86;2016
MG;MONTE FORMOSO;1131;344;0;30;0;84;10;0;1;19;572;21;44;0;3;0;0;0;0;0;2;1;2016
MG;MONTE SANTO DE MINAS;13353;7669;0;541;131;1239;301;0;18;73;2666;298;125;0;90;162;4;1;0;3;2;30;2016
MG;MONTE SIAO;15216;8074;0;335;9;1618;320;0;5;58;3875;642;40;0;147;12;1;0;0;0;2;78;2016
MG;MONTES CLAROS;205757;86716;0;4863;694;14802;4382;0;494;411;72989;12974;1249;0;3948;879;7;105;0;14;113;1117;2016
MG;MONTEZUMA;1900;445;0;49;2;154;12;0;0;12;1106;70;30;0;14;2;0;2;0;0;1;1;2016
MG;MORADA NOVA DE MINAS;3161;1582;0;136;20;391;61;0;38;22;647;62;28;0;141;24;0;0;0;0;1;8;2016
MG;MORRO DA GARCA;703;325;0;46;0;50;25;0;2;10;213;3;20;0;8;0;0;0;0;0;0;1;2016
MG;MORRO DO PILAR;939;353;0;33;0;84;5;0;0;8;438;9;3;0;3;0;0;0;0;1;1;1;2016
MG;MUNHOZ;3820;1850;0;160;4;476;76;0;1;23;1145;51;12;0;9;3;0;0;0;0;0;10;2016
MG;MURIAE;51166;25500;0;1531;455;2993;872;0;706;152;15311;1195;223;0;1295;571;25;3;0;4;65;265;2016
