Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Data Fato;Horário Fato;Descrição Tipo Material;Situação Material;Qtde Materiais
2020-019301309-001;POLICIA MILITAR;280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;INVÁLIDO;JOAO DOS SANTOS;PREENCHIMENTO OPCIONAL;;1509;INVÁLIDO;CONCESSO ELIAS;;;NOVA SERRANA;;;23/04/2020;08:01:05;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-019750138-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;63 BPM/7 RPM;C01157;CONSUMADO;RUA;TENENTE OSCAR TEIXEIRA LIMA;;PREENCHIMENTO OPCIONAL;;0;NOVO HORIZONTE;;;;FORMIGA;-20,46282450;-45,45145050;25/04/2020;22:07:26;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-020316550-001;POLICIA MILITAR;279 CIA PM/60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;JOAO JOSE DE FREITAS;;PREENCHIMENTO OPCIONAL;;70;PARK DONA GUMERCINDA MARTINS;;;;NOVA SERRANA;-19,86767600;-44,99865320;29/04/2020;10:44:23;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-021094579-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;C01157;CONSUMADO;RUA;SABARA;;PREENCHIMENTO OPCIONAL;;70;VILA MARIA;;;;PARA DE MINAS;-19,87044700;-44,59211170;03/05/2020;19:40:00;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-021390303-001;POLICIA MILITAR;INVÁLIDO;279 CIA PM/60 BPM/7 RPM;C01157;TENTADO;PRACA;INVÁLIDO;PADRE LIBERIO;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;CENTRO;;;NOVA SERRANA;;;05/05/2020;16:25:08;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-022648640-001;POLICIA MILITAR;279 CIA PM/60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;ELI MARTINS FAGUNDES;;PREENCHIMENTO OPCIONAL;;155;MORADA DO SOL;;;;NOVA SERRANA;-19,88155050;-44,97718090;12/05/2020;18:26:02;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-023316706-001;POLICIA MILITAR;51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;ALBINO SANTOS;;PREENCHIMENTO OPCIONAL;;71;SANTANENSE;;;;ITAUNA;-20,07295710;-44,60585140;16/05/2020;15:44:33;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-026215190-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;PALMEIRAS;;PREENCHIMENTO OPCIONAL;;1980;ROSARIO DOIS;;;;BOM DESPACHO;-19,74851180;-45,27182980;02/06/2020;13:55:45;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-027409214-001;POLICIA MILITAR;279 CIA PM/60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;NACIONAL;;PREENCHIMENTO OPCIONAL;;286;CENTRO;;;;NOVA SERRANA;-19,87377330;-44,98731370;09/06/2020;07:21:51;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-027770314-001;POLICIA MILITAR;280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;INVÁLIDO;OITO;PREENCHIMENTO OPCIONAL;;248;INVÁLIDO;INDUSTRIAL;;;NOVA SERRANA;;;10/06/2020;19:10:48;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-027978094-001;POLICIA MILITAR;3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;MESSIAS JACOB LEMOS;;PREENCHIMENTO OPCIONAL;;152;NOVO LAVRADO;;;;PITANGUI;-19,67984390;-44,89861220;11/06/2020;22:51:11;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-028456899-001;POLICIA MILITAR;280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;AVENIDA;INVÁLIDO;AMAZONAS;PREENCHIMENTO OPCIONAL;;415;INVÁLIDO;ANTONIO VENANCIO;;;NOVA SERRANA;;;14/06/2020;15:06:17;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
2020-029056195-001;POLICIA MILITAR;280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01157;CONSUMADO;RUA;A;;PREENCHIMENTO OPCIONAL;;813;INVÁLIDO;Itapoã;;;NOVA SERRANA;;;17/06/2020;18:12:38;SIMULACRO DE ARMA DE FOGO (USO RESTRITO);APREENDIDO;1
