Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Situação Arma;Tipo Arma;Data Fato;Horário Fato;Qtde  Armas de Fogo
2019-003710764-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03014;CONSUMADO;RUA;INACIO DIOGO;;PREENCHIMENTO OPCIONAL;;493;DOS CRISTOS;;;;POMPEU;-19,22015430;-45,01057590;APREENDIDO;REVOLVER;24/01/2019;18:35:00;1
2019-003813294-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03013;CONSUMADO;SITIO;ENGENHEIRO BICALHO;ANA MARIA;PREENCHIMENTO OPCIONAL;;161.000;CENTRO;ZONA RURAL;;;POMPEU;-19,21782790;-45,00359970;APREENDIDO;GARRUCHA;25/01/2019;10:35:00;1
2019-003869640-001;POLICIA MILITAR;60 BPM/7 RPM;7 CIA PM IND PE/7 RPM;E03012;CONSUMADO;RUA;SANTA GENOVEVA;;PREENCHIMENTO OPCIONAL;;910;CONCESSO ELIAS;;;;NOVA SERRANA;-19,85904360;-44,98915730;APREENDIDO;PISTOLA;25/01/2019;17:52:29;1
2019-004048130-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;C01157;CONSUMADO;RUA;CALIFORNIA;;PREENCHIMENTO OPCIONAL;;321;DISTRITO DE MARILANDIA;;;;ITAPECERICA;-20,35762500;-44,93324570;APREENDIDO;REVOLVER;26/01/2019;18:30:00;1
2019-004049106-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;E03014;CONSUMADO;AVENIDA;BAHIA;;PREENCHIMENTO OPCIONAL;;3200;PLANALTO;;;;NOVA SERRANA;-19,86315090;-44,97600900;APREENDIDO;REVOLVER;26/01/2019;23:09:43;1
2019-004184246-001;POLICIA MILITAR;4 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;E03016;CONSUMADO;AVENIDA;CRISPIM ALVES MAGALHAES;;PREENCHIMENTO OPCIONAL;;52;CIDADE NOVA;;;;MARAVILHAS;-19,51895390;-44,68182230;APREENDIDO;PISTOLA;27/01/2019;23:30:00;1
2019-004503964-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;E03012;CONSUMADO;POVOADO;TRES BARRAS;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;POVOADO TIRA CHAPEU;SAO SEBASTIAO DO OESTE;-20,25047200;-45,10050930;APREENDIDO;ESPINGARDA / ESCOPETA;29/01/2019;17:30:00;1
2019-004677679-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03014;CONSUMADO;RUA;ELEOTERIA ALVES MARTINS;;ANTONIO CANDIDO CASTELO BRANCO FILHO;;;DONA IZABEL;;;;POMPEU;-19,20900190;-45,00542980;APREENDIDO;PISTOLA;30/01/2019;19:00:00;1
2019-004720347-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;I04033;CONSUMADO;RUA;INVÁLIDO;NOSSA SENHORA DE FATIMA;PREENCHIMENTO OPCIONAL;;206;INVÁLIDO;RESIDENCIAL JOAO GOMES;;;IGARATINGA;-19,96180556;-44,70908333;APREENDIDO;ESPINGARDA POLVEIRA;30/01/2019;23:20:00;1
2019-004852010-001;POLICIA MILITAR;50 CIA PM/7 BPM/7 RPM;50 CIA PM/7 BPM/7 RPM;E03014;CONSUMADO;BECO;TABATINGA;;PREENCHIMENTO OPCIONAL;;100;CONJUNTO HABITACIONAL GERALDO SABIA;;;;BOM DESPACHO;-19,73975260;-45,24338960;APREENDIDO;REVOLVER;31/01/2019;18:52:08;1
