Unid Registro Nível 6;TIPO
3 GP/2 PEL MAMB/14 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/1 PEL MAMB/16 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/1 PEL MAMB/16 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL MAMB/18 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/2 PEL MAMB/12 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/2 PEL MAMB/18 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/1 PEL MAMB/18 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/1 PEL MAMB/4 CIA PM MAMB/BPM MAMB ;CPMAMB
6 CIA PM RV/BPMRV/CPRV ;CPRV
1 PEL/1 CIA PCHQ/BPCHQ/CPE ;CPE
2 GP/2 PEL MAMB/5 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL RV/13 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL PM RV/17 CIA PM RV/BPMRV/CPRV ;CPRV
4 GP/2 PEL PM RV/17 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/3 PEL/1 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
2 GP/3 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/1 PEL MAMB/6 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/2 PEL PM RV/14 CIA PM RV/BPMRV/CPRV ;CPRV
3 GP/2 PEL MAMB/7 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/2 PEL MAMB/17 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/1 PEL MAMB/14 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/1 PEL MAMB/18 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL MAMB/13 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/1 PEL MAMB/4 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/2 PEL RV/15 CIA PM RV/BPMRV/CPRV ;CPRV
2 GP/1 PEL MAMB/9 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/3 PEL MAMB/14 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/1 PEL MAMB/14 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/1 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/2 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
3 GP/2 PEL MAMB/16 CIA PM MAMB/BPM MAMB ;CPMAMB
2 GP/4 PEL RV/11 CIA PM RV/BPMRV ;CPRV
5 GP/2 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/2 PEL MAMB/14 CIA PM MAMB/BPM MAMB ;CPMAMB
7 GP/2 PEL MAMB/15 CIA PM MAMB/BPM MAMB ;CPMAMB
BPMRV/CPRV ;CPRV
1 GP/2 PEL PM MAMB/15 CIA PM MAMB ;CPMAMB
5 GP/3 PEL MAMB/4 CIA PM MAMB/BPM MAMB ;CPMAMB
1 PEL MAMB/5 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
3 GP/3 PEL/1 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
3 GP/2 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/1 PEL MAMB/11 CIA PM MAMB/BPM MAMB ;CPMAMB
5 PEL MAMB/1 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
1 GP/3 PEL RV/11 CIA PM RV/BPMRV ;CPRV
4 GP/2 PEL RV/15 CIA PM RV/BPMRV/CPRV ;CPRV
1 ESQ PMONT/RCAT/CPE ;CPE
1 GP/1 PEL MAMB/9 CIA PM MAMB/BPM MAMB ;CPMAMB
1 GP/1 PEL RV/17 CIA PM RV/BPMRV/CPRV ;CPRV
4 GP/2 PEL PM MAMB/15 CIA PM MAMB ;CPMAMB
4 PEL MAMB/1 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
2 GP/2 PEL RV/8 CIA PM RV/BPMRV/CPRV ;CPRV
1 GP/2 PEL MAMB/5 CIA PM MAMB/BPM MAMB ;CPMAMB
4 GP/2 PEL/5 CIA PM MAMB/BPM MAMB/CPMAMB ;CPMAMB
1 GP/2 PEL MAMB/8 CIA PM MAMB/BPM MAMB ;CPMAMB
